timestamp_s,outdoor_temperature_C,direct_normal_W_m2,diffuse_horizontal_W_m2,global_horizontal_W_m2,solar_altitude_deg,solar_azimuth_deg,south_window_direct_W_m2,south_window_diffuse_W_m2,window_solar_gain_W,wall_solar_gain_W,roof_solar_gain_W,opaque_solar_gain_W,total_zone_solar_gain_W
19933200.0,27.2,41.0,193.0,211.0,41.615774540898705,68.5587348143848,11.20483692273481,96.5,956.0783348878738,51.94423843514609,52.35921434949441,104.3034527846405,1060.3817876725143
19936800.0,26.7,55.0,88.0,101.0,51.67609426035365,52.941237493533755,20.553339165663445,44.0,558.2745156069216,10.342997707438,18.494203882928943,28.837201590366945,587.1117171972885
19940400.0,24.4,143.0,15.0,22.0,59.4118021682291,30.741455495765873,62.54246122235596,7.5,608.877480327741,-12.001491598559937,21.137314793239597,9.13582319467966,618.0133035224206
19944000.0,22.2,0.0,0.0,0.0,62.612757197105715,0.9522271939232905,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
19947600.0,22.8,0.0,0.0,0.0,59.755716270858265,-29.149996719003116,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
19951200.0,21.7,0.0,0.0,0.0,52.221823577677156,-51.829408864445405,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
19954800.0,21.1,0.0,0.0,0.0,42.255239110968574,-67.75383895220271,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
19958400.0,21.1,0.0,0.0,0.0,31.202368899993715,-79.80066506592453,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
19962000.0,18.9,0.0,0.0,0.0,19.482177377345234,-89.68561503924082,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
19965600.0,20.6,0.0,0.0,0.0,8.010123068558608,260.8907941485076,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
19969200.0,20.6,0.0,0.0,0.0,-3.162200088094762,251.36782379989626,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
19972800.0,20.6,0.0,0.0,0.0,-13.695587979920314,241.03742359425124,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
19976400.0,20.0,0.0,0.0,0.0,-23.14614472344266,229.19823548013048,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
19980000.0,20.0,153.0,5.0,10.0,-30.894147283594805,215.1954778771891,0.0,2.5,-13.781070000000003,13.72321576603936,-29.462400000000006,-15.739184233960646,-29.52025423396065
19983600.0,22.8,476.0,89.0,199.0,-36.134823888405755,198.73724999718846,0.0,44.5,373.40735399999994,128.10199592021905,2.471039999999995,130.57303592021904,503.98038992021895
19987200.0,25.6,382.0,171.0,330.0,-38.067092858241764,180.48016080624896,0.0,85.5,751.3770059999999,118.9444969977302,33.64416,152.5886569977302,903.9656629977301
19990800.0,29.4,508.0,194.0,492.0,-36.321108674912104,162.1711020806428,0.0,97.0,857.392884,177.98030060701393,42.38784,220.3681406070139,1077.761024607014
19994400.0,30.0,503.0,274.0,640.0,-31.233048381523417,145.59350541696534,0.0,137.0,1226.143764,225.03728686776577,72.80063999999999,297.83792686776576,1523.9816908677658
19998000.0,30.0,84.0,289.0,359.0,-23.593382348057073,131.46582298613208,0.0,144.5,1295.2845539999998,109.41991108018757,78.50304,187.92295108018757,1483.2075050801875
20001600.0,31.1,475.0,341.0,759.0,-14.213696021409861,119.5299337352585,0.0,170.5,1534.972626,249.4755650815584,98.27135999999999,347.7469250815584,1882.7195510815584
20005200.0,31.1,599.0,301.0,829.0,-3.7240341707237596,109.13900849375273,0.0,150.5,1350.597186,258.5901682936261,83.06496,341.6551282936261,1692.2523142936261
20008800.0,27.0,30.0,291.0,316.0,7.424212770829945,99.5914006045163,0.0,145.5,1304.503326,91.74368658073104,80.73702733077997,172.480713911511,1476.984039911511
20012400.0,25.6,0.0,201.0,201.0,18.888378076848827,90.18112351947727,0.0,100.5,889.658586,47.932776,45.048959999999994,92.98173599999998,982.640322
20016000.0,25.6,0.0,150.0,150.0,30.352998684553338,80.09248194830688,0.0,75.0,654.5799,27.303480000000004,25.660799999999995,52.96428,707.54418
20019600.0,25.6,325.0,208.0,347.0,41.425107801135375,68.16793269971842,90.62595143718515,104.0,1757.3842715824824,108.44528062338986,129.45708839498104,237.9023690183709,1995.2866406008534
20023200.0,24.4,0.0,73.0,73.0,51.44556000262589,52.51925059327087,0.0,36.5,299.65717799999993,-3.8427119999999997,-3.611520000000006,-7.4542320000000055,292.20294599999994
20026800.0,24.0,75.0,13.0,17.0,59.120663440276694,30.36400982376332,33.21243452882985,6.5,329.27187948620985,-20.047327076276638,-1.9506944022686348,-21.998021478545272,307.27385800766456
20030400.0,22.2,0.0,0.0,0.0,62.269558094705815,0.8124298818624461,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
20034000.0,21.7,0.0,0.0,0.0,59.41471953367407,-29.000994619739192,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
20037600.0,21.7,0.0,0.0,0.0,51.91374449868639,-51.561829805489026,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
20041200.0,18.9,0.0,0.0,0.0,41.97497100195322,-67.47293802630537,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
20044800.0,17.8,0.0,0.0,0.0,30.937439191714482,-79.5349969171044,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
20048400.0,20.6,0.0,0.0,0.0,19.217604106124615,-89.43768949570146,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
20052000.0,18.3,0.0,0.0,0.0,7.7419823994621915,261.1228056340919,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
20055600.0,19.4,0.0,0.0,0.0,-3.4409987323205256,251.58495430242814,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
20059200.0,18.9,0.0,0.0,0.0,-13.99110679955771,241.23656406512382,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
20062800.0,18.9,0.0,0.0,0.0,-23.462801698893113,229.36847784360225,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
20066400.0,17.8,135.0,4.0,8.0,-31.23238508077313,215.3140323927612,0.0,2.0,-18.390456000000004,7.87731674229545,-29.842560000000006,-21.965243257704557,-40.35569925770456
20070000.0,21.1,437.0,75.0,174.0,-36.486942490993314,198.77078781619653,0.0,37.5,308.87595,111.66161894018967,-2.8512000000000057,108.81041894018966,417.68636894018965
